product_id,sku,brand,model,product_family,device_type,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,weight_kg,warranty_months,msrp
P008077,LP-LENOVO-BLADE-232-2024,Lenovo,Lenovo Blade 232,Blade,Laptop,2024,Windows,Gaming,AMD,AMD Ryzen 5 3864,3,8,16,2.4,3.4,NVIDIA,RTX 30 70,3,8,40,NVMe,512,1,LED,13.3,1920x1080,144,70,240,1.52,36,1953.99
P008078,LP-SAMSUNG-STEALTH-656-2022,Samsung,Samsung Stealth 656,Stealth,Laptop,2022,Linux,Ultrabook,Intel,Intel i7-12138,5,16,32,2.8,3.8,NVIDIA,RTX 30 80 Ti,5,12,96,SSD,512,1,QLED,17.3,1920x1080,90,80,65,2.64,12,2982.99
P008079,LP-APPLE-STEALTH-U6C-2018,Apple,Apple Stealth U6C,Stealth,Laptop,2018,Linux,Ultrabook,Apple,Apple M1 Pro,6,24,24,3.0,4.1,Apple,Apple Integrated,5,0,96,SSD,1024,1,Mini-LED,15.6,2560x1600,60,60,65,3.0,12,3380.99
P008080,LP-SAMSUNG-NITRO-JLC-2018,Samsung,Samsung Nitro JLC,Nitro,Laptop,2018,Windows,Ultrabook,AMD,AMD Ryzen 3 3555,1,4,8,2.0,2.8,Apple,Apple Integrated,1,0,8,SSD,1024,2,LED,13.3,1920x1080,60,80,45,1.52,24,1118.99
P008081,LP-HP-PRO-D9W-2024,HP,HP Pro D9W,Pro,Laptop,2024,Windows,Mainstream,Intel,Intel i3-12754,1,4,8,2.0,3.0,AMD,RX 7000 50,1,4,8,SSD,256,1,QLED,15.6,1920x1080,120,60,90,1.1,24,1144.99
P008082,LP-MSI-THINK-PUD-2025,MSI,MSI Think PUD,Think,Laptop,2025,Windows,Mainstream,AMD,AMD Ryzen 5 5376,3,10,20,2.4,3.3,NVIDIA,RTX 40 80,4,10,32,SSD,1024,1,IPS,15.6,2560x1600,60,80,90,2.5,24,2304.99
P008083,LP-LENOVO-THINK-FJ2-2023,Lenovo,Lenovo Think FJ2,Think,Laptop,2023,Windows,Ultrabook,Intel,Intel i7-12607,4,14,26,2.6,3.6,Intel,Arc A700,4,0,64,NVMe,1024,1,OLED,14.0,2560x1600,60,80,120,1.37,36,2761.99
P008084,LP-HP-SLIM-RKV-2025,HP,HP Slim RKV,Slim,Laptop,2025,Windows,Workstation,AMD,AMD Ryzen 9 5290,6,26,52,3.0,4.0,Intel,Arc A700,4,0,96,HDD,512,1,IPS,14.0,2560x1600,165,80,65,1.57,12,2811.99
P008085,LP-HP-AIR-VW2-2023,HP,HP Air VW2,Air,Laptop,2023,Windows,Mainstream,Intel,Intel i7-14119,4,12,24,2.6,3.7,NVIDIA,RTX 30 80,4,10,64,NVMe,512,1,IPS,13.3,1920x1080,60,60,65,1.12,12,1873.99
P008086,LP-APPLE-THINK-VL9-2021,Apple,Apple Think VL9,Think,Laptop,2021,Windows,Gaming,Apple,Apple M2 Max,4,14,14,2.6,3.5,Apple,Apple Integrated,4,4,64,HDD,512,1,LED,14.0,3840x2160,60,60,65,0.97,12,2504.99
P008087,LP-HP-THINK-EZ6-2024,HP,HP Think EZ6,Think,Laptop,2024,Windows,Gaming,Intel,Intel i5-13186,2,8,16,2.2,3.0,Apple,Apple Integrated,2,2,16,Hybrid,256,1,LED,15.6,2880x1800,60,70,120,1.7,48,1661.99
P008088,LP-APPLE-NITRO-HUH-2025,Apple,Apple Nitro HUH,Nitro,Laptop,2025,ChromeOS,Gaming,Apple,Apple M1,2,6,6,2.2,3.1,Apple,Apple Integrated,2,2,16,Hybrid,1024,1,Mini-LED,15.6,2560x1600,60,56,240,1.3,24,1875.99
P008089,LP-APPLE-CREATOR-SB1-2023,Apple,Apple Creator SB1,Creator,Laptop,2023,Windows,Gaming,Apple,Apple M3 Max,2,6,6,2.2,3.0,Apple,Apple Integrated,1,2,8,NVMe,256,1,IPS,15.6,2560x1600,144,70,90,1.7,12,1802.99
P008090,LP-ASUS-STEALTH-PWA-2025,ASUS,ASUS Stealth PWA,Stealth,Laptop,2025,Windows,Mainstream,Intel,Intel i3-12888,1,4,8,2.0,3.0,NVIDIA,RTX 40 60,2,6,8,HDD,512,2,IPS,16.0,1920x1080,144,60,65,1.53,24,1196.99
P008091,LP-GIGABYTE-NITRO-4Y4-2023,Gigabyte,Gigabyte Nitro 4Y4,Nitro,Laptop,2023,macOS,Ultrabook,AMD,AMD Ryzen 7 7243,4,14,28,2.6,3.6,Apple,Apple Integrated,4,2,64,NVMe,256,1,IPS,15.6,2560x1600,240,60,180,1.7,12,2410.99
P008092,LP-LENOVO-SLIM-V81-2024,Lenovo,Lenovo Slim V81,Slim,Laptop,2024,Windows,Mainstream,Intel,Intel i7-14156,4,12,24,2.6,3.6,NVIDIA,RTX 40 60,2,6,32,NVMe,1024,1,LED,15.6,1920x1080,60,90,65,1.7,24,1762.99
P008093,LP-SAMSUNG-STEALTH-I5T-2019,Samsung,Samsung Stealth I5T,Stealth,Laptop,2019,Linux,Mainstream,AMD,AMD Ryzen 7 7805,4,14,28,2.6,3.6,Apple,Apple Integrated,4,0,64,Hybrid,256,2,QLED,15.6,2560x1600,120,70,45,1.7,24,2006.99
P008094,LP-RAZER-SLIM-DTX-2023,Razer,Razer Slim DTX,Slim,Laptop,2023,macOS,Ultrabook,AMD,AMD Ryzen 5 4267,3,8,16,2.4,3.2,NVIDIA,RTX 40 50,1,4,16,NVMe,4096,1,LED,14.0,1920x1080,120,80,120,1.17,12,2259.99
P008095,LP-DELL-NITRO-HSK-2023,Dell,Dell Nitro HSK,Nitro,Laptop,2023,Linux,Mainstream,Intel,Intel i5-13462,2,8,16,2.2,3.2,NVIDIA,RTX 40 60,2,6,24,SSD,1024,1,VA,14.0,1920x1080,120,80,45,1.17,24,1321.99
P008096,LP-SAMSUNG-LEGION-CPT-2025,Samsung,Samsung Legion CPT,Legion,Laptop,2025,Windows,Gaming,Intel,Intel i7-10216,4,14,28,2.6,3.5,NVIDIA,RTX 40 80,4,10,64,NVMe,256,2,IPS,15.6,2560x1600,120,56,90,1.7,24,2468.99
P008097,LP-LENOVO-THINK-HJY-2024,Lenovo,Lenovo Think HJY,Think,Laptop,2024,Windows,2-in-1,Intel,Intel i7-12299,4,14,28,2.6,3.6,Apple,Apple Integrated,4,0,64,SSD,1024,1,Mini-LED,14.0,2560x1600,60,56,90,1.37,12,2484.99
P008098,LP-ACER-AIR-D3P-2022,Acer,Acer Air D3P,Air,Laptop,2022,Windows,Mainstream,AMD,AMD Ryzen 7 5585,5,18,36,2.8,3.7,AMD,RX 5000 80,4,10,64,SSD,1024,1,VA,16.0,1920x1080,60,70,45,1.73,12,1839.99
P008099,LP-ASUS-AIR-JTP-2022,ASUS,ASUS Air JTP,Air,Laptop,2022,Windows,2-in-1,Intel,Intel i5-10970,3,8,14,2.4,3.2,NVIDIA,RTX 30 70,3,8,32,Hybrid,512,1,IPS,16.0,2560x1600,120,70,90,2.03,36,1906.99
P008100,LP-SAMSUNG-CREATOR-C5E-2025,Samsung,Samsung Creator C5E,Creator,Laptop,2025,Windows,Workstation,Intel,Intel i5-14300,2,6,12,2.2,3.1,AMD,RX 7000 50,1,4,8,HDD,1024,1,Mini-LED,15.6,3840x2160,240,56,90,2.0,12,2256.99
P008101,LP-ASUS-CREATOR-HQC-2025,ASUS,ASUS Creator HQC,Creator,Laptop,2025,Windows,Ultrabook,Intel,Intel i5-13493,3,10,20,2.4,3.3,NVIDIA,RTX 40 70,3,8,32,SSD,2048,1,QLED,15.6,1920x1080,144,50,65,2.5,12,2387.99
P008102,LP-SAMSUNG-BLADE-QTJ-2022,Samsung,Samsung Blade QTJ,Blade,Laptop,2022,Windows,Mainstream,Intel,Intel i7-12484,4,12,24,2.6,3.5,NVIDIA,RTX 40 70,3,8,32,SSD,2048,1,LED,13.3,1920x1080,60,80,65,2.82,12,2086.99
P008103,LP-MSI-ZEN-63R-2020,MSI,MSI Zen 63R,Zen,Laptop,2020,Windows,Mainstream,AMD,AMD Ryzen 7 6605,4,12,22,2.6,3.7,NVIDIA,RTX 40 80,4,10,64,SSD,512,1,Mini-LED,13.3,3840x2160,90,90,65,1.32,24,2152.99
P008104,LP-APPLE-AIR-D8E-2023,Apple,Apple Air D8E,Air,Laptop,2023,ChromeOS,Ultrabook,Apple,Apple M2,6,24,24,3.0,4.0,Apple,Apple Integrated,6,0,128,SSD,512,1,LED,15.6,1920x1080,60,60,120,2.0,24,3284.99
P008105,LP-DELL-LEGION-Q20-2019,Dell,Dell Legion Q20,Legion,Laptop,2019,Windows,Gaming,Intel,Intel i7-12952,4,12,24,2.6,3.4,Intel,Arc A700,4,0,72,NVMe,1024,1,Mini-LED,15.6,2560x1600,60,60,65,1.1,24,2121.99
P008106,LP-DELL-BLADE-LZU-2024,Dell,Dell Blade LZU,Blade,Laptop,2024,Windows,Ultrabook,Intel,Intel i5-10467,3,8,16,2.4,3.4,Apple,Apple Integrated,3,0,32,SSD,512,1,LED,16.0,2560x1600,120,70,120,2.53,12,1578.99
P008107,LP-SAMSUNG-BLADE-KAA-2025,Samsung,Samsung Blade KAA,Blade,Laptop,2025,Windows,Mainstream,AMD,AMD Ryzen 5 3345,3,8,16,2.4,3.3,NVIDIA,RTX 30 50,1,4,16,NVMe,256,1,LED,13.3,1920x1080,144,90,120,1.82,12,1061.99
P008108,LP-GIGABYTE-THINK-TT7-2022,Gigabyte,Gigabyte Think TT7,Think,Laptop,2022,macOS,Gaming,Intel,Intel i3-13548,1,4,8,2.0,2.9,NVIDIA,RTX 40 50,1,4,8,SSD,1024,1,LED,14.0,2560x1600,240,99,180,1.87,24,1678.99
P008109,LP-ASUS-CREATOR-JF3-2022,ASUS,ASUS Creator JF3,Creator,Laptop,2022,macOS,Mainstream,AMD,AMD Ryzen 5 3609,3,8,16,2.4,3.2,NVIDIA,RTX 40 50,1,4,24,NVMe,1024,1,QLED,17.3,1920x1080,60,50,65,1.84,36,1514.99
P008110,LP-MSI-NITRO-6Y2-2025,MSI,MSI Nitro 6Y2,Nitro,Laptop,2025,Windows,Ultrabook,Intel,Intel i7-12672,4,12,24,2.6,3.6,NVIDIA,RTX 40 60,2,6,32,NVMe,1024,1,LED,13.3,1920x1080,60,90,180,2.82,12,1798.99
P008111,LP-SAMSUNG-PRO-QSD-2025,Samsung,Samsung Pro QSD,Pro,Laptop,2025,Windows,Gaming,AMD,AMD Ryzen 5 7883,3,8,14,2.4,3.4,NVIDIA,RTX 30 60,2,6,16,SSD,4096,2,LED,16.0,2560x1600,120,80,180,1.33,24,2084.99
P008112,LP-GIGABYTE-BLADE-XEU-2025,Gigabyte,Gigabyte Blade XEU,Blade,Laptop,2025,macOS,Mainstream,Intel,Intel i5-13134,3,8,16,2.4,3.3,Apple,Apple Integrated,4,6,32,NVMe,256,2,QLED,16.0,1920x1080,120,90,90,1.53,12,2217.99
P008113,LP-DELL-STEALTH-ST3-2025,Dell,Dell Stealth ST3,Stealth,Laptop,2025,Windows,Gaming,AMD,AMD Ryzen 5 6521,3,8,16,2.4,3.4,NVIDIA,RTX 40 60,2,6,16,Hybrid,256,1,OLED,15.6,1920x1080,60,70,90,1.7,12,1735.99
P008114,LP-SAMSUNG-PRO-SMW-2024,Samsung,Samsung Pro SMW,Pro,Laptop,2024,Windows,Mainstream,Intel,Intel i5-13594,3,8,16,2.4,3.4,NVIDIA,RTX 30 50,1,4,16,NVMe,2048,1,OLED,15.6,1920x1080,120,56,45,1.7,12,1820.99
P008115,LP-SAMSUNG-PRO-ZNR-2020,Samsung,Samsung Pro ZNR,Pro,Laptop,2020,Linux,2-in-1,Intel,Intel i3-11635,1,4,8,2.0,2.8,AMD,RX 7000 50,1,4,8,NVMe,1024,1,Mini-LED,13.3,1920x1080,60,70,45,1.32,12,1150.99
P008116,LP-HP-BLADE-PL4-2019,HP,HP Blade PL4,Blade,Laptop,2019,macOS,Gaming,AMD,AMD Ryzen 7 5362,4,12,24,2.6,3.6,AMD,RX 7000 80 XT,5,12,64,NVMe,512,1,IPS,15.6,1920x1080,60,56,180,1.7,12,2711.99
P008117,LP-LENOVO-PRO-MIS-2021,Lenovo,Lenovo Pro MIS,Pro,Laptop,2021,Windows,Gaming,Intel,Intel i5-11731,3,8,16,2.4,3.2,NVIDIA,RTX 30 60,2,6,16,Hybrid,1024,1,IPS,15.6,1920x1080,120,70,240,1.5,24,1488.99
P008118,LP-ASUS-PRO-X6B-2021,ASUS,ASUS Pro X6B,Pro,Laptop,2021,Windows,Mainstream,AMD,AMD Ryzen 5 7312,3,10,20,2.4,3.4,Apple,Apple Integrated,2,2,16,SSD,1024,1,IPS,14.0,1920x1080,165,50,90,1.37,36,1297.99
P008119,LP-DELL-NITRO-OY0-2023,Dell,Dell Nitro OY0,Nitro,Laptop,2023,Windows,Gaming,AMD,AMD Ryzen 9 4404,6,26,52,3.0,3.9,NVIDIA,RTX 40 90,6,16,128,SSD,256,1,IPS,16.0,1920x1080,60,60,65,1.73,12,2671.99
P008120,LP-MSI-STEALTH-QRI-2023,MSI,MSI Stealth QRI,Stealth,Laptop,2023,Windows,Ultrabook,AMD,AMD Ryzen 5 6983,2,8,16,2.2,3.1,NVIDIA,RTX 30 60,2,6,24,Hybrid,1024,1,LED,14.0,2880x1800,60,90,45,1.57,36,1766.99
P008121,LP-HP-BLADE-DQT-2021,HP,HP Blade DQT,Blade,Laptop,2021,Windows,Gaming,Intel,Intel i5-11875,3,8,16,2.4,3.3,AMD,RX 6000 60,2,6,16,Hybrid,1024,1,VA,15.6,1920x1080,120,56,45,1.5,12,1372.99
P008122,LP-MSI-ZEN-AYP-2018,MSI,MSI Zen AYP,Zen,Laptop,2018,Windows,Ultrabook,AMD,AMD Ryzen 5 6132,2,6,12,2.2,3.1,NVIDIA,RTX 40 50,1,4,8,NVMe,256,1,Mini-LED,15.6,2560x1600,60,60,120,1.7,12,1510.99
P008123,LP-DELL-BLADE-R3E-2020,Dell,Dell Blade R3E,Blade,Laptop,2020,Windows,Workstation,Intel,Intel i7-10136,5,16,32,2.8,3.8,NVIDIA,RTX 30 80,4,10,64,NVMe,512,1,OLED,16.0,3840x2160,120,80,90,1.73,12,3150.99
P008124,LP-GIGABYTE-PRO-QNB-2024,Gigabyte,Gigabyte Pro QNB,Pro,Laptop,2024,Windows,Gaming,AMD,AMD Ryzen 7 4160,4,12,24,2.6,3.4,NVIDIA,RTX 30 70,3,8,32,Hybrid,512,2,OLED,14.0,1920x1080,60,80,240,1.87,24,2815.99
P008125,LP-DELL-ZEN-TMY-2022,Dell,Dell Zen TMY,Zen,Laptop,2022,Windows,Ultrabook,Intel,Intel i5-12458,3,8,16,2.4,3.4,AMD,RX 6000 60,2,6,16,SSD,256,1,LED,14.0,2880x1800,60,60,65,1.37,24,1436.99
P008126,LP-ACER-BLADE-WOB-2020,Acer,Acer Blade WOB,Blade,Laptop,2020,Windows,Gaming,Intel,Intel i7-13173,4,12,24,2.6,3.6,Intel,Arc A580,3,0,32,HDD,1024,1,IPS,14.0,1920x1080,165,56,65,2.87,12,1543.99
P008127,LP-ACER-SLIM-YR9-2020,Acer,Acer Slim YR9,Slim,Laptop,2020,Windows,Mainstream,Intel,Intel i5-10789,3,8,16,2.4,3.2,NVIDIA,RTX 40 60,2,6,16,NVMe,1024,1,LED,15.6,2560x1600,60,60,90,1.3,12,1573.99
P008128,LP-DELL-BLADE-1SK-2022,Dell,Dell Blade 1SK,Blade,Laptop,2022,macOS,Mainstream,Intel,Intel i7-13959,4,12,24,2.6,3.5,NVIDIA,RTX 30 80,4,10,64,HDD,4096,1,LED,15.6,2560x1600,120,90,120,1.5,12,2361.99
P008129,LP-HP-PRO-7EL-2022,HP,HP Pro 7EL,Pro,Laptop,2022,Windows,Workstation,AMD,AMD Ryzen 3 7320,1,4,6,2.0,3.0,NVIDIA,RTX 30 50,1,4,8,Hybrid,2048,1,LED,16.0,2560x1600,120,70,65,1.13,24,1311.99
P008130,LP-SAMSUNG-THINK-KBI-2025,Samsung,Samsung Think KBI,Think,Laptop,2025,Windows,2-in-1,Intel,Intel i7-10383,5,16,32,2.8,3.7,Intel,Arc B580,3,2,64,SSD,256,1,LED,14.0,1920x1080,60,70,180,1.37,24,1941.99
P008131,LP-ACER-LEGION-N8C-2022,Acer,Acer Legion N8C,Legion,Laptop,2022,Windows,Ultrabook,Intel,Intel i7-13967,5,16,32,2.8,3.7,AMD,RX 6000 80,4,10,64,NVMe,1024,1,LED,15.6,1920x1080,120,90,90,2.5,12,1797.99
P008132,LP-ACER-STEALTH-XAC-2025,Acer,Acer Stealth XAC,Stealth,Laptop,2025,macOS,Mainstream,AMD,AMD Ryzen 5 6618,3,10,20,2.4,3.2,NVIDIA,RTX 30 70,3,8,32,NVMe,512,2,IPS,15.6,1920x1080,144,70,120,1.7,24,2027.99
P008133,LP-ASUS-ZEN-K8C-2021,ASUS,ASUS Zen K8C,Zen,Laptop,2021,Windows,Ultrabook,Intel,Intel i3-10748,1,4,8,2.0,2.9,NVIDIA,RTX 40 60,2,6,24,NVMe,1024,1,LED,15.6,1920x1080,90,80,120,1.3,12,1408.99
P008134,LP-DELL-THINK-M5R-2022,Dell,Dell Think M5R,Think,Laptop,2022,Windows,Mainstream,Intel,Intel i5-12361,3,8,16,2.4,3.5,Intel,Arc A380,2,0,16,SSD,512,1,QLED,13.3,1920x1080,60,70,45,1.32,12,1332.99
P008135,LP-SAMSUNG-ZEN-1X7-2020,Samsung,Samsung Zen 1X7,Zen,Laptop,2020,Linux,Gaming,AMD,AMD Ryzen 7 6368,5,18,36,2.8,3.8,NVIDIA,RTX 30 80,4,10,72,NVMe,1024,1,LED,14.0,1920x1080,60,80,180,1.37,24,2362.99
P008136,LP-SAMSUNG-PRO-YLF-2019,Samsung,Samsung Pro YLF,Pro,Laptop,2019,Windows,Mainstream,AMD,AMD Ryzen 3 4843,1,6,12,2.0,2.9,NVIDIA,RTX 30 50,1,4,8,Hybrid,512,1,OLED,15.6,1920x1080,60,56,45,1.1,12,1311.99
P008137,LP-APPLE-CREATOR-8XA-2025,Apple,Apple Creator 8XA,Creator,Laptop,2025,Windows,2-in-1,Apple,Apple M1,4,12,12,2.6,3.6,Apple,Apple Integrated,3,0,32,HDD,512,1,IPS,14.0,2560x1600,240,56,45,1.37,12,2656.99
P008138,LP-ASUS-NITRO-OJR-2019,ASUS,ASUS Nitro OJR,Nitro,Laptop,2019,Windows,2-in-1,Intel,Intel i7-11924,4,12,24,2.6,3.6,AMD,RX 6000 70,3,8,32,NVMe,256,2,LED,14.0,2560x1600,120,70,90,1.17,24,1727.99
P008139,LP-HP-SLIM-RU4-2024,HP,HP Slim RU4,Slim,Laptop,2024,macOS,Mainstream,Intel,Intel i7-10936,5,16,32,2.8,3.7,NVIDIA,RTX 40 80 Ti,5,12,96,NVMe,256,1,LED,16.0,1920x1080,60,80,120,1.33,24,2704.99
P008140,LP-ASUS-PRO-KDV-2019,ASUS,ASUS Pro KDV,Pro,Laptop,2019,Windows,Gaming,AMD,AMD Ryzen 3 5390,1,4,6,2.0,2.9,NVIDIA,RTX 40 50,1,4,8,NVMe,1024,1,IPS,15.6,1920x1080,60,90,65,1.3,12,945.99
P008141,LP-SAMSUNG-THINK-YHH-2022,Samsung,Samsung Think YHH,Think,Laptop,2022,Windows,Mainstream,AMD,AMD Ryzen 5 6948,3,8,16,2.4,3.3,NVIDIA,RTX 40 70,3,8,32,SSD,2048,2,IPS,14.0,2880x1800,60,56,120,1.87,24,2210.99
P008142,LP-SAMSUNG-THINK-ZE0-2024,Samsung,Samsung Think ZE0,Think,Laptop,2024,macOS,Ultrabook,Intel,Intel i3-11590,1,6,12,2.0,3.0,NVIDIA,RTX 30 50,1,4,8,NVMe,512,1,OLED,15.6,2560x1600,120,80,45,2.5,24,1777.99
P008143,LP-HP-BLADE-TAO-2022,HP,HP Blade TAO,Blade,Laptop,2022,Windows,Mainstream,Intel,Intel i7-13168,4,14,26,2.6,3.7,AMD,RX 6000 80,4,10,64,NVMe,256,2,Mini-LED,13.3,1920x1080,120,99,120,1.52,24,2264.99
P008144,LP-SAMSUNG-STEALTH-Q8Y-2021,Samsung,Samsung Stealth Q8Y,Stealth,Laptop,2021,macOS,Mainstream,Intel,Intel i5-11564,2,6,12,2.2,3.1,NVIDIA,RTX 40 60,2,6,16,SSD,512,1,LED,15.6,1920x1080,60,70,45,1.5,24,1689.99
P008145,LP-LENOVO-ZEN-6EN-2020,Lenovo,Lenovo Zen 6EN,Zen,Laptop,2020,Windows,Ultrabook,Intel,Intel i7-14270,4,12,24,2.6,3.6,NVIDIA,RTX 30 60,2,6,40,NVMe,1024,1,IPS,16.0,1920x1080,60,90,120,1.53,24,1597.99
P008146,LP-GIGABYTE-AIR-VB5-2022,Gigabyte,Gigabyte Air VB5,Air,Laptop,2022,Windows,Ultrabook,AMD,AMD Ryzen 7 4943,4,12,24,2.6,3.7,AMD,RX 6000 80,4,10,64,SSD,2048,1,IPS,13.3,2560x1600,90,70,120,0.92,12,2388.99
P008147,LP-ASUS-SLIM-QNN-2020,ASUS,ASUS Slim QNN,Slim,Laptop,2020,Windows,Mainstream,AMD,AMD Ryzen 5 7481,3,8,16,2.4,3.3,NVIDIA,RTX 30 70,3,8,32,NVMe,1024,1,OLED,13.3,2560x1600,120,60,65,1.32,24,2150.99
P008148,LP-GIGABYTE-BLADE-2OO-2024,Gigabyte,Gigabyte Blade 2OO,Blade,Laptop,2024,macOS,Gaming,Intel,Intel i5-10389,3,10,20,2.4,3.3,AMD,RX 7000 70,3,8,32,SSD,512,2,OLED,15.6,1920x1080,60,60,180,1.3,12,2279.99
P008149,LP-LENOVO-SLIM-XR9-2022,Lenovo,Lenovo Slim XR9,Slim,Laptop,2022,macOS,2-in-1,AMD,AMD Ryzen 5 4266,2,8,16,2.2,3.1,NVIDIA,RTX 30 50,1,4,8,NVMe,256,1,IPS,13.3,1920x1080,120,90,65,1.12,12,1461.99
P008150,LP-HP-STEALTH-MQQ-2023,HP,HP Stealth MQQ,Stealth,Laptop,2023,Windows,Mainstream,AMD,AMD Ryzen 7 4457,4,12,24,2.6,3.6,NVIDIA,RTX 30 80,4,10,64,NVMe,512,1,OLED,15.6,3840x2160,120,70,90,1.5,12,2377.99
P008151,LP-HP-BLADE-W6E-2022,HP,HP Blade W6E,Blade,Laptop,2022,ChromeOS,Mainstream,Intel,Intel i3-10109,1,6,12,2.0,2.9,Apple,Apple Integrated,1,4,8,NVMe,2048,1,VA,15.6,2560x1600,90,70,90,1.7,36,1231.99
P008152,LP-HP-AIR-DHN-2023,HP,HP Air DHN,Air,Laptop,2023,macOS,Gaming,AMD,AMD Ryzen 3 6550,1,4,8,2.0,3.0,NVIDIA,RTX 30 50,1,4,16,Hybrid,1024,1,OLED,14.0,1920x1080,60,70,65,1.37,12,1847.99
P008153,LP-GIGABYTE-STEALTH-H50-2025,Gigabyte,Gigabyte Stealth H50,Stealth,Laptop,2025,Windows,Ultrabook,Intel,Intel i7-13915,5,16,32,2.8,3.6,NVIDIA,RTX 30 80 Ti,5,12,96,SSD,512,1,IPS,15.6,2560x1600,60,90,120,1.7,24,2540.99
P008154,LP-DELL-STEALTH-OY4-2023,Dell,Dell Stealth OY4,Stealth,Laptop,2023,Windows,Gaming,AMD,AMD Ryzen 5 4532,3,8,16,2.4,3.2,AMD,RX 7000 70,3,8,32,Hybrid,256,1,OLED,14.0,2560x1600,240,80,90,1.17,24,2111.99
P008155,LP-SAMSUNG-LEGION-K6H-2023,Samsung,Samsung Legion K6H,Legion,Laptop,2023,Windows,Gaming,Intel,Intel i5-14803,2,8,16,2.2,3.3,Intel,Arc A380,2,0,16,HDD,256,1,OLED,16.0,1920x1080,60,70,90,2.03,36,1624.99
P008156,LP-MSI-LEGION-GMG-2023,MSI,MSI Legion GMG,Legion,Laptop,2023,Linux,2-in-1,Intel,Intel i7-10528,4,12,24,2.6,3.4,NVIDIA,RTX 20 80,4,10,64,Hybrid,256,1,LED,15.6,1920x1080,90,90,65,1.5,24,1968.99
P008157,LP-HP-STEALTH-TFV-2024,HP,HP Stealth TFV,Stealth,Laptop,2024,ChromeOS,Gaming,Intel,Intel i7-10679,4,12,24,2.6,3.4,NVIDIA,RTX 40 70,3,8,32,HDD,512,1,LED,14.0,2880x1800,60,99,90,1.87,12,1896.99
P008158,LP-SAMSUNG-BLADE-1CP-2018,Samsung,Samsung Blade 1CP,Blade,Laptop,2018,Windows,Workstation,Intel,Intel i5-13763,2,6,12,2.2,3.2,NVIDIA,RTX 40 50,1,4,8,NVMe,512,1,IPS,15.6,1920x1080,120,56,65,1.5,24,1154.99
P008159,LP-LENOVO-CREATOR-L0K-2023,Lenovo,Lenovo Creator L0K,Creator,Laptop,2023,macOS,Gaming,Intel,Intel i5-13151,3,8,16,2.4,3.4,AMD,RX 5000 60,2,6,16,NVMe,512,1,VA,15.6,1920x1080,60,90,65,1.3,12,1696.99
P008160,LP-SAMSUNG-LEGION-T9X-2024,Samsung,Samsung Legion T9X,Legion,Laptop,2024,Windows,Mainstream,Intel,Intel i7-13877,5,16,32,2.8,3.6,NVIDIA,RTX 40 80,4,10,64,SSD,512,1,OLED,15.6,2560x1600,120,90,120,1.3,36,2758.99
P008161,LP-MSI-ZEN-KYM-2020,MSI,MSI Zen KYM,Zen,Laptop,2020,macOS,Mainstream,AMD,AMD Ryzen 5 6131,3,8,16,2.4,3.5,Apple,Apple Integrated,3,2,32,Hybrid,512,1,Mini-LED,15.6,2880x1800,120,60,90,1.5,12,2335.99
P008162,LP-HP-NITRO-7FT-2023,HP,HP Nitro 7FT,Nitro,Laptop,2023,macOS,Mainstream,Intel,Intel i5-10758,3,8,16,2.4,3.3,Intel,Arc B310,1,0,16,SSD,1024,2,Mini-LED,15.6,2880x1800,60,80,120,1.3,12,2426.99
P008163,LP-HP-NITRO-AT4-2025,HP,HP Nitro AT4,Nitro,Laptop,2025,Windows,Mainstream,Intel,Intel i7-12809,4,12,24,2.6,3.5,NVIDIA,RTX 20 70,3,8,32,HDD,256,2,LED,16.0,1920x1080,60,90,120,2.53,24,1654.99
P008164,LP-HP-BLADE-RO9-2019,HP,HP Blade RO9,Blade,Laptop,2019,Windows,Ultrabook,Intel,Intel i7-11168,4,14,26,2.6,3.5,NVIDIA,RTX 40 70,3,8,32,NVMe,1024,1,LED,15.6,1920x1080,165,99,90,1.7,12,1772.99
P008165,LP-GIGABYTE-ZEN-W2R-2019,Gigabyte,Gigabyte Zen W2R,Zen,Laptop,2019,Windows,Mainstream,AMD,AMD Ryzen 9 4883,6,24,46,3.0,4.1,AMD,RX 6000 80 XT,5,12,96,SSD,2048,1,LED,14.0,2560x1600,60,90,65,1.37,12,2491.99
P008166,LP-LENOVO-CREATOR-15O-2025,Lenovo,Lenovo Creator 15O,Creator,Laptop,2025,Windows,Ultrabook,Intel,Intel i5-13451,2,8,16,2.2,3.0,NVIDIA,RTX 30 60,2,6,16,NVMe,256,1,IPS,14.0,2560x1600,165,70,90,1.57,12,1686.99
P008167,LP-APPLE-STEALTH-VF2-2025,Apple,Apple Stealth VF2,Stealth,Laptop,2025,Windows,Ultrabook,Apple,Apple M1 Max,2,6,6,2.2,3.3,Apple,Apple Integrated,2,0,16,SSD,4096,2,QLED,13.3,1920x1080,144,60,90,1.12,24,2204.99
